Question Number,Reason,Sum,Frequency
0,"Completes any math required as part of the team's assignments",793,261
0,"Performs more effectively than any other team member",319,79
0,"Completes all assigned tasks on time",670,217
0,"Effectively completes tasks, no matter what",376,93
0,"Adds ideas to projects that make the work better",407,101
0,"Does an equal share of the work",593,186
0,"Identifies solutions for issues that no one else is able to address",333,83
0,"Completes the tasks needed",698,223
0,"Comes up with important ideas during team brainstorming",245,61
0,"Engages in little taskwork if not pushed by others",211,110
0,"Consistently meets the expectations of the assignment",655,191
0,"Provides valuable input for accomplishing team assignments",311,77
0,"Sits idly in team meetings",250,127
0,"Adds input to the team assignments",889,290
0,"Always volunteers to perform additional work as needed",266,66
0,"Shows up late, if at all, to team meetings",200,102
0,"Does more work than what is needed",291,71
0,"Always offers ideas about how to complete tasks, no matter what the task is",331,82
0,"Fails to complete personal taskwork required for the team's assignment",92,46
0,"Does fair share of the work, but generally not above and beyond the fair share",623,199
0,"Turns in acceptable, but not outstanding, work",674,234
0,"Puts in more effort than any other member of the team",312,77
0,"Generates ideas that help the team",243,60
0,"Generates new ideas to improve the team's assignment that the rest of the team had not thought of",313,78
0,"Never reads the material prior to meeting",189,100
0,"Frequently misses team meetings",264,134
0,"Submits work that fails to meet the task requirements explicitly stated by the team",79,43
0,"Routinely late to team meetings",182,93
0,"Performs a significant amount of work on assignments",336,83
0,"Adds little, if anything, to team assignments",146,78
1,"Actively listens to others' opinions and ideas of how things should be done",956,310
1,"Seeks input from team members that haven't voiced ideas yet",586,145
1,"Redirects negative comments of other team members to keep things positive",720,177
1,"Shares ideas openly with fellow team members",964,322
1,"Is often combative when own ideas are not adopted",308,165
1,"Respects other team members' opinions",1010,313
1,"Communicates well with the other team members",660,165
1,"Asks everyone to contribute ideas so everyone's voice is heard during team meetings",569,141
1,"Involves everyone in discussions",671,166
1,"Listens to everyone's opinions",749,246
1,"Often encourages teammates' thoughts and opinions",389,96
1,"Listens to everyone",944,289
1,"Frequently absent",183,103
1,"Displays nonverbal signs of frustration, disinterest, or contempt towards working with others on the team",185,106
1,"Closed-minded regarding others' ideas",18,18
1,"Displays a negative attitude towards anything that the team does",131,77
1,"Fails to give status reports to other team members",210,112
1,"Boosts team morale by complimenting members on their work",617,152
1,"Cheers on teammates",518,128
1,"Often argues with other teammates",228,123
1,"Disregards abstract and creative ideas from other team members",46,31
1,"Ignores other team members' ideas and opinions",45,31
1,"Stubbornly disagrees with the team's decisions if not aligned with own ideas",58,39
2,"Often coordinates meetings when others forget",379,94
2,"Encourages the team members to stay on the tasks",1041,320
2,"Finds a way to get the team back on track regardless of what else is occurring",428,105
2,"Helps the team think of issues that have been overlooked",1010,319
2,"Reminds team of deadlines to help encourage the completion of tasks",926,270
2,"Appropriately assigns roles to team members to get the most productivity out of everyone",417,103
2,"Sets goals and checkpoints to help the team",386,96
2,"Identifies weaknesses in the team's developments",1059,321
2,"Does not give feedback on a problem unless someone else addresses a concern first",197,105
2,"Sets internal deadlines to push the team to complete goals effectively",456,113
2,"Records team progress and tasks remaining",920,287
2,"Rarely checks on progress of other team members",123,70
2,"Creates goals to help the team monitor its progress",475,117
2,"Gives constructive feedback",382,95
2,"Takes the initiative to make sure everyone makes it to the meetings and gets their work done",273,67
2,"Keeps track of deadlines and holds team members to those deadlines to ensure the project is completed in the time allotted",388,95
2,"Writes down a checklist of what the team needs to get done for meetings",325,81
2,"Does not follow up with team members about tasking to ensure understanding",236,123
2,"Does not mention problems right away, but later comments about having noticed those issues",278,146
2,"Provides irrelevant information that further confuses the team when the team is attempting to overcome a problem",219,115
2,"Ensures that things get done by asking if each member understands the tasks that they need to accomplish",869,250
2,"Organizes team meetings",452,112
2,"Distracts the other team members by talking about topics that have nothing to do with the task",191,99
2,"Writes checklists that keep the team focused",349,86
3,"Reviews all work before submitting it to the team to ensure it is of top quality",860,212
3,"Encourages team to check work for errors",1113,350
3,"Encourages the team to achieve its highest potential",553,135
3,"Usually reads and double-checks the work before submitting it",964,293
3,"Talks about the need to get good grades by turning in quality work",1074,350
3,"Communicates high expectations with regard to the quality of assignments",989,244
3,"Ignores errors in the work and suggests that it is ok to submit as is without fixing errors",45,45
3,"Makes statements indicating a greater concern for just getting done rather than ensuring a quality job",234,133
3,"Often makes statements implying the team will fail the assignment",674,351
3,"Encourages the team to do better than it normally would",681,167
3,"Finishes work as quickly as possible without regard for whether it is done correctly",404,214
3,"Invests time to ensure the team is doing the job well",1279,403
3,"Questions things to ensure that processes are the best they can be",902,221
3,"Checks work to ensure it is generally correct",858,268
3,"Shows little concern about the team's performance on assignments",31,31
4,"Learned computer skills required for the assignment so the team could complete the task",542,133
4,"Figures out how to do the math for assigned problems",833,249
4,"Shows skills in areas where the rest of the team does not have them",906,224
4,"Uses computer skills to help solve some problems",1078,312
4,"Able to use base knowledge of computers in some assignments",936,282
4,"Relies upon an excellent knowledge base that greatly assists in solving the team's problems",858,213
4,"Uses relevant math skills",788,229
4,"Accomplishes tasks quickly by using extensive knowledge base",759,187
4,"Does not try to learn the skills needed to complete the task",492,257
4,"Expresses frustration when trying to complete tasks that require task-specific knowledge and skills",412,217
4,"Completes the required mathematical operations due to having the expected mathematical skills for this course",853,256
4,"Applies previous knowledge of computer programs to tasks",723,210
4,"Applies previously gained programming knowledge to complete tasks",784,226
4,"Able to contribute to all assignments because of an unusually strong understanding of the required mathematical knowledge and skills",491,121
4,"Relies on extensive computer skills to complete team assignments",875,217
4,"Demonstrates outstanding mathematics skills",516,126
4,"Unable to complete basic tasks because he/she is struggling to understand the material",72,47
